nameOrig,customer_age,account_type,region,tenure_years,credit_score,avg_monthly_trans,device_type,kyc_verified
C3044265826,18,Checking,West,4.1,432,26.9,Mobile,True
C8019798271,24,Savings,South,12.4,626,146.7,Mobile,True
C8605444834,43,Savings,West,2.6,484,189.1,Web,True
C1798962700,24,Savings,South,5.3,805,124.1,Mobile,True
C7666087140,69,Business,North,16.7,833,144.6,Web,True
C2785836643,24,Business,South,6.5,540,153.6,Mobile,True
C4735604389,25,Checking,East,9.8,815,56.2,Web,True
C4419827299,33,Savings,East,18.8,464,13.8,Web,True
C4238504278,20,Checking,West,4.5,517,5.4,Mobile,True
C1154355436,62,Business,North,7.8,304,73.4,Web,True
C6990338440,27,Business,East,12.1,380,52.1,Web,True
C8460772866,67,Business,West,15.1,546,17.2,Mobile,True
C3930000411,24,Business,North,18.0,792,40.0,Web,True
C7782506048,38,Checking,North,18.3,685,29.3,Web,False
C4536087088,54,Savings,West,15.5,606,183.4,Web,True
C8653697589,48,Checking,East,4.6,842,32.4,Web,True
C7630595124,40,Savings,East,0.5,306,109.8,Web,True
C3955128393,44,Business,West,7.7,814,120.7,Branch,True
C6333872140,39,Savings,East,2.8,372,111.0,Web,True
C4913010277,56,Business,West,14.2,309,24.3,Web,True
C8341743952,44,Checking,East,13.2,421,67.2,Web,False
C5429922978,66,Savings,East,0.9,812,15.0,Web,True
C4161956738,21,Checking,West,16.7,740,82.2,Mobile,True
C4891523339,41,Business,West,5.0,337,41.8,Branch,True
C6440328563,40,Checking,East,8.6,644,114.5,Mobile,True
C8569059648,65,Business,West,13.4,637,140.1,Branch,True
C8976310731,36,Business,East,8.6,483,108.8,Web,True
C1328070825,59,Business,South,8.8,366,89.7,Web,True
C6874371304,20,Checking,North,1.3,316,80.5,Branch,True
C6075531172,44,Checking,North,8.0,682,169.1,Branch,True
C7165458310,20,Savings,East,15.3,667,47.8,Mobile,True
C2468035736,45,Savings,North,18.3,615,148.2,Branch,True
C4174094902,34,Checking,East,8.3,796,152.7,Web,True
C6253876230,48,Checking,West,8.5,644,86.7,Mobile,True
C7745888779,27,Checking,South,14.1,772,63.0,Branch,True
C3349189279,66,Checking,North,18.9,414,96.8,Branch,True
C3603379670,39,Business,North,5.3,399,23.2,Mobile,True
C2250455031,47,Business,West,8.8,737,14.0,Branch,True
C5949210170,66,Business,South,15.9,644,26.8,Web,True
C5026009756,38,Checking,South,12.2,648,41.5,Mobile,True
C7886085857,53,Business,South,2.2,438,103.3,Branch,True
C9846414971,40,Business,West,12.6,623,170.6,Web,True
C7795534851,55,Savings,North,3.7,601,51.0,Branch,True
C9547882087,29,Savings,North,10.2,593,187.4,Mobile,True
C2027179126,42,Business,South,10.6,828,191.2,Branch,True
C3279499575,37,Business,West,17.5,591,192.0,Branch,True
C8063465290,66,Business,West,9.2,373,168.3,Branch,True
C1880387600,66,Checking,West,5.6,783,75.9,Web,True
C9143580600,59,Savings,South,4.6,315,19.2,Web,True
C8933639704,24,Savings,West,17.5,825,115.9,Branch,False
C6648513530,46,Savings,South,3.4,635,113.9,Branch,True
C2186430290,65,Business,South,8.5,815,170.7,Mobile,True
C3264586695,46,Checking,South,3.7,426,199.2,Branch,True
C5069031598,30,Savings,East,15.5,817,104.1,Mobile,True
C9850333854,20,Savings,South,9.5,428,72.3,Web,True
C3963526317,19,Checking,West,7.0,810,41.3,Branch,True
C8258909465,33,Business,East,7.2,722,5.9,Mobile,True
C4996925809,47,Business,North,17.0,684,104.3,Web,True
C3135940691,55,Savings,North,11.1,531,113.3,Mobile,True
C9781334775,23,Savings,West,14.4,494,165.9,Web,True
C7080136864,62,Checking,West,17.9,364,103.4,Branch,True
C6591689637,24,Savings,West,18.0,576,183.7,Mobile,True
C5076229753,22,Checking,West,6.6,523,127.5,Branch,True
C5133090861,24,Savings,East,19.0,577,168.9,Mobile,True
C3666782085,51,Savings,West,0.5,665,33.9,Web,True
C9283532861,49,Savings,South,7.5,815,171.8,Mobile,True
C8562811837,66,Business,North,17.9,514,136.7,Mobile,True
C7643711565,30,Checking,West,5.5,738,38.2,Branch,False
C6069383981,47,Checking,South,5.5,727,42.0,Branch,True
C2969663198,42,Business,West,6.1,695,185.7,Branch,True
C7703904770,38,Business,South,12.2,508,11.3,Web,True
C9005654021,38,Business,East,8.8,800,95.2,Branch,True
C3067311111,45,Checking,North,14.5,762,66.1,Mobile,True
C1588406480,65,Savings,North,17.9,526,134.7,Web,True
C3264447025,37,Business,East,13.5,674,168.7,Branch,True
C5762660520,51,Business,South,4.1,799,75.3,Mobile,True
C7539258301,22,Business,West,18.7,392,88.2,Mobile,True
C1941102411,35,Savings,South,5.3,759,196.5,Web,True
C4948738833,56,Savings,North,3.0,620,157.9,Mobile,True
C5350928849,60,Business,East,1.8,309,180.0,Branch,True
C5355913093,28,Savings,East,11.3,602,90.6,Mobile,True
C8294190864,34,Business,South,2.3,621,50.6,Branch,True
C5092660559,65,Savings,South,2.8,755,85.3,Branch,False
C9448426913,62,Checking,East,6.0,577,144.6,Web,True
C4668855145,39,Checking,North,5.6,837,26.3,Mobile,True
C2968102826,54,Savings,West,12.1,692,57.7,Web,True
C8968053340,37,Checking,West,16.3,394,14.1,Web,True
C7885108779,65,Checking,South,15.2,406,89.3,Web,True
C4588049316,65,Checking,East,5.2,689,166.4,Branch,True
C8664029219,65,Business,East,4.9,825,9.8,Branch,True
C2619140571,63,Savings,East,19.3,370,136.7,Branch,True
C8751355646,23,Savings,North,0.2,675,186.8,Branch,True
C9787746772,51,Savings,South,17.6,667,51.2,Mobile,True
C7505516598,31,Checking,South,4.0,350,140.3,Mobile,True
C2055734938,65,Business,South,18.9,442,195.1,Branch,False
C2729859932,40,Savings,North,6.8,718,192.6,Branch,True
C1001901740,37,Checking,South,8.8,847,50.8,Mobile,False
C9166378211,30,Business,West,14.1,799,24.6,Web,True
C1660596149,64,Business,South,11.8,466,33.9,Web,True
C3068238662,61,Savings,South,6.4,559,141.9,Branch,True
C3729209666,58,Savings,South,11.1,491,146.5,Web,True
C1140093021,49,Checking,North,14.6,501,136.5,Branch,True
C9837766754,43,Savings,West,0.8,484,70.5,Branch,True
C2908534630,67,Checking,West,0.2,457,38.1,Branch,True
C7966606864,31,Business,East,9.2,398,118.2,Mobile,True
C9557474476,69,Business,East,2.6,540,99.3,Web,True
C9170043136,53,Business,West,13.3,790,147.1,Mobile,True
C9063180953,25,Business,South,4.3,501,91.1,Web,True
C5184896915,57,Savings,South,8.7,808,71.0,Mobile,True
C8901950266,39,Savings,South,4.0,395,62.2,Mobile,True
C1982235012,39,Checking,North,11.0,789,46.2,Branch,True
C9402330816,33,Checking,South,2.3,517,56.8,Branch,True
C1636419349,44,Checking,North,0.5,826,23.5,Mobile,True
C8213612023,27,Checking,West,1.0,572,72.6,Web,True
C1965896104,42,Checking,South,19.1,518,12.1,Web,True
C2852765763,48,Business,South,2.8,631,41.4,Branch,False
C4088768255,38,Business,East,14.2,752,150.6,Branch,True
C8901278066,44,Business,West,1.4,451,68.5,Web,False
C4277525453,34,Checking,South,2.2,646,135.3,Web,True
C9112709715,50,Business,North,10.2,713,144.8,Web,False
C2096544135,48,Business,West,9.3,826,118.3,Branch,True
C2269998959,67,Business,East,19.0,730,191.9,Web,True
C9730850861,59,Business,West,18.9,678,9.2,Branch,True
C2564889562,43,Savings,North,15.6,727,149.0,Mobile,True
C2975695232,38,Checking,East,12.0,383,192.0,Mobile,True
C9998184302,53,Checking,North,9.1,491,173.1,Mobile,False
C4121364131,18,Savings,West,7.1,340,37.7,Web,False
C8618869212,21,Business,East,18.9,608,68.7,Branch,True
C8837404163,21,Business,North,12.1,677,38.6,Web,True
C2989831088,43,Business,West,11.6,435,122.3,Branch,False
C9784940212,21,Checking,North,4.6,405,143.9,Web,True
C2682871134,66,Checking,South,0.9,818,66.8,Mobile,True
C7643028148,26,Checking,West,18.9,841,110.2,Branch,True
C7579983016,47,Checking,East,6.3,425,139.7,Web,True
C3535882236,68,Checking,East,8.9,656,87.2,Branch,True
C1263414459,62,Savings,South,2.3,699,171.5,Branch,True
C6850502469,21,Checking,North,16.7,378,155.5,Web,True
C4105812280,22,Business,North,0.6,688,17.6,Web,True
C6156367015,62,Checking,East,16.7,834,126.1,Branch,True
C5338306132,40,Savings,North,2.8,373,50.9,Branch,True
C2878970579,33,Business,West,17.7,304,113.7,Mobile,True
C9812847445,39,Savings,West,14.6,762,191.6,Branch,True
C8437701106,54,Business,East,3.3,381,176.4,Mobile,True
C4260176268,25,Checking,West,11.3,836,83.9,Mobile,True
C9143433245,65,Savings,East,6.3,704,61.8,Mobile,True
C8808365412,50,Business,North,3.6,813,50.7,Branch,True
C2085826159,55,Checking,North,17.2,577,108.8,Mobile,False
C5833369272,60,Business,North,8.1,523,27.3,Branch,True
C6742219759,33,Savings,South,8.0,367,112.1,Branch,True
C7037655267,22,Savings,East,3.4,619,5.3,Web,True
C3329895221,33,Savings,West,7.7,318,68.2,Branch,True
C1642533319,24,Savings,North,17.4,642,47.9,Branch,True
C2635049743,68,Checking,South,7.3,642,194.4,Mobile,True
C5383750175,18,Business,West,19.0,396,146.8,Branch,True
C2154687952,26,Checking,West,18.9,351,73.2,Branch,True
C7364572373,35,Savings,West,2.9,474,23.1,Web,True
C2553533712,62,Business,North,3.5,637,105.8,Web,True
C1558093946,64,Savings,West,17.3,652,46.6,Mobile,True
C3405575524,20,Checking,East,7.9,690,109.6,Mobile,True
C8648185072,41,Checking,South,0.1,414,167.9,Web,True
C4042940094,45,Checking,West,5.5,647,125.1,Web,True
C1739117618,27,Business,West,12.0,300,128.6,Branch,True
C2927639934,26,Business,East,16.0,362,110.5,Mobile,True
C1524116974,30,Savings,West,2.7,525,185.8,Mobile,True
C6775030584,65,Business,North,2.2,722,186.7,Branch,True
C1132533665,52,Business,North,18.4,318,105.0,Branch,True
C9812823208,40,Checking,North,15.0,330,64.6,Mobile,True
C1610617416,64,Savings,West,11.8,323,94.6,Web,True
C1916517445,34,Checking,South,15.4,510,41.4,Web,True
C8151748435,63,Savings,South,8.6,460,129.1,Branch,True
C2339961168,24,Savings,West,15.2,554,102.5,Mobile,True
C5363952496,69,Business,South,7.4,413,25.1,Branch,True
C7940288800,33,Checking,South,4.9,803,43.5,Web,True
C8916819105,57,Business,West,14.6,519,98.5,Web,True
C1418820854,53,Business,North,8.4,656,178.1,Branch,True
C3294760416,37,Business,West,19.6,468,115.4,Web,True
C3322437287,41,Savings,North,7.0,823,137.9,Mobile,True
C2326433732,64,Checking,North,18.4,541,71.1,Branch,True
C5803888103,22,Checking,South,18.7,674,116.4,Branch,False
C5129668335,62,Business,South,4.8,438,92.2,Branch,True
C8768693848,23,Savings,North,16.0,396,133.5,Web,True
C1304476999,45,Checking,North,8.7,446,14.9,Mobile,True
C6358014963,22,Checking,South,18.4,481,101.2,Branch,True
C1085021707,66,Business,East,9.0,356,62.7,Branch,True
C6972934196,56,Savings,North,14.9,341,68.6,Web,True
C5015770501,55,Business,North,9.3,842,192.4,Mobile,True
C2849156100,19,Checking,North,4.6,301,40.6,Branch,False
C4770914715,60,Savings,South,4.0,587,65.7,Web,True
C7895590468,56,Business,West,8.5,437,104.4,Branch,True
C6356389239,38,Checking,North,15.1,811,173.3,Web,True
C5655398961,57,Business,North,12.1,521,86.3,Mobile,True
C1309714810,54,Business,North,13.8,630,150.1,Web,True
C6177159645,35,Business,West,5.6,703,172.0,Branch,False
C4370955859,65,Savings,West,9.6,807,65.5,Branch,True
C8445268870,63,Checking,North,0.9,426,81.6,Web,True
C8649319126,29,Checking,North,16.4,564,74.5,Mobile,False
C7876683740,34,Checking,East,19.8,314,167.4,Mobile,True
C2396954903,54,Checking,West,8.1,525,13.6,Branch,True
C9337701694,63,Savings,East,0.2,404,65.1,Branch,True
C9223707496,55,Business,North,3.4,792,137.5,Web,True
C1049309063,32,Checking,North,13.1,618,115.3,Web,True
C7228203069,24,Savings,North,12.2,518,90.1,Web,True
C5196630729,31,Business,North,15.8,576,110.3,Mobile,False
C1442902849,67,Savings,South,5.1,640,43.5,Mobile,True
C7647684665,18,Savings,South,15.3,751,89.0,Branch,True
C5204590491,55,Checking,South,13.8,668,102.8,Branch,True
C7680801960,20,Checking,East,6.5,773,180.7,Branch,False
C1815250513,54,Business,West,10.9,489,55.9,Web,True
C7795425235,61,Business,North,2.9,718,174.2,Mobile,True
C1878065584,48,Checking,West,9.1,794,130.6,Branch,True
C7514563169,60,Savings,South,17.6,338,9.0,Branch,True
C4178968866,30,Checking,North,8.4,461,146.3,Branch,True
C8257544869,65,Business,North,16.8,420,11.9,Branch,True
C5913193113,35,Savings,East,11.8,698,199.5,Branch,False
C4975087598,34,Savings,West,3.8,561,175.2,Branch,True
C5588460051,34,Savings,East,11.6,428,63.0,Mobile,True
C8283394707,28,Checking,South,10.1,839,55.2,Branch,True
C8050755380,37,Checking,West,8.0,655,79.4,Mobile,True
C8317732245,27,Business,South,2.4,731,74.5,Web,False
C7230650952,46,Savings,East,8.3,364,77.6,Mobile,True
C3886458719,65,Savings,East,1.5,517,67.1,Web,True
C3258105786,51,Checking,North,2.0,726,126.1,Mobile,True
C1747675075,34,Business,West,8.3,373,37.0,Mobile,True
C1502794834,69,Business,West,6.1,759,170.0,Branch,False
C7223771608,59,Savings,North,18.5,724,163.4,Mobile,True
C7924596020,30,Checking,West,7.5,491,97.9,Mobile,True
C9328186802,61,Savings,South,15.2,488,171.3,Branch,True
C7980201315,64,Checking,South,10.6,311,53.2,Web,True
C6899372957,56,Business,East,14.1,538,8.4,Branch,True
C1216848364,44,Savings,South,5.2,752,125.7,Branch,True
C2656197420,43,Savings,West,18.8,682,94.3,Branch,True
C3327829640,45,Savings,North,10.6,347,115.6,Web,True
C1946970249,30,Business,East,16.6,616,180.4,Mobile,True
C3651064365,29,Savings,North,7.3,508,194.1,Mobile,True
C8470701471,61,Business,East,2.0,846,128.7,Branch,True
C3139067209,45,Checking,East,13.5,418,154.0,Branch,True
C8485376282,19,Business,North,0.2,614,21.3,Mobile,True
C6699613361,54,Checking,South,9.5,335,36.3,Mobile,True
C9952005972,51,Business,South,3.9,762,148.0,Mobile,True
C3202143098,40,Business,South,12.5,702,89.1,Web,True
C2882849178,69,Savings,South,19.6,406,92.0,Web,True
C9573881234,62,Business,North,9.3,338,65.2,Branch,True
C3348814378,46,Savings,West,16.3,479,123.4,Web,True
C3880529448,52,Checking,East,10.2,311,41.1,Branch,True
C8305170865,28,Checking,North,9.9,638,127.2,Mobile,True
C4514870516,65,Savings,South,18.6,847,38.9,Mobile,True
C9804762734,50,Checking,South,17.8,425,17.4,Branch,True
C9716653567,68,Business,North,15.7,362,69.4,Mobile,True
C1067917165,28,Savings,East,5.9,381,50.1,Branch,True
C1331335978,26,Savings,North,10.9,598,178.4,Branch,True
C2824379825,31,Savings,North,4.5,333,15.7,Branch,True
C7859474080,26,Checking,West,8.9,348,39.4,Web,True
C6893555805,56,Checking,North,9.7,356,112.0,Branch,True
C9095860049,65,Business,West,16.6,408,98.8,Branch,True
C6941160574,20,Business,East,17.9,816,13.9,Branch,True
C4379149303,46,Savings,North,8.3,323,6.4,Web,True
C7001994114,36,Business,North,0.4,520,197.7,Mobile,True
C7500909925,53,Checking,South,17.2,614,133.5,Web,True
C2088160758,49,Business,North,3.5,593,76.3,Branch,True
C6546931975,24,Checking,South,12.4,309,96.7,Web,True
C7131047120,45,Business,South,0.5,780,57.0,Mobile,True
C1885697020,61,Checking,South,8.0,566,72.3,Mobile,False
C8729733226,35,Checking,East,19.7,387,131.6,Branch,True
C2432830246,22,Business,West,2.0,754,177.1,Mobile,True
C4715977147,40,Business,South,8.5,832,40.9,Web,True
C8987882532,39,Checking,North,6.1,447,168.9,Web,True
C1150357841,43,Savings,North,18.1,730,28.7,Mobile,True
C2766689537,59,Business,South,17.4,541,46.9,Branch,False
C4752611385,29,Checking,South,4.8,365,12.2,Branch,True
C7440010407,57,Business,North,1.6,677,32.5,Web,True
C4367200078,36,Business,South,12.5,687,183.9,Mobile,True
C7442795070,64,Business,West,6.7,508,94.6,Web,True
C8666936319,18,Business,West,13.4,714,20.1,Web,True
C1863712460,20,Business,East,0.6,315,192.1,Web,True
C3016596842,44,Savings,South,2.7,596,176.4,Branch,True
C5416563287,35,Savings,East,13.7,519,152.2,Mobile,True
C5344327077,67,Savings,East,4.2,666,187.0,Mobile,True
C7050652280,47,Checking,East,17.2,528,47.9,Branch,True
C4968665189,19,Savings,South,1.2,739,168.1,Web,True
C5775490900,22,Savings,East,4.3,831,139.5,Web,False
C4378087920,46,Checking,West,20.0,749,174.6,Branch,False
C9343108443,50,Savings,East,8.7,335,160.4,Mobile,True
C4207381233,59,Business,West,14.1,721,72.6,Branch,True
C4549739310,37,Savings,West,3.7,488,156.0,Mobile,True
C1034206848,47,Savings,South,12.2,477,56.2,Mobile,False
C4189145660,59,Savings,East,14.5,614,69.1,Mobile,True
C9919082873,22,Business,South,6.3,319,26.0,Web,True
C4556734700,67,Business,West,16.6,681,187.3,Web,True
C6899224240,38,Business,North,12.1,442,61.7,Branch,True
C6461045561,32,Business,East,7.8,361,106.5,Branch,True
C2368415088,37,Checking,South,11.2,541,81.3,Web,True
C4880753980,25,Business,North,11.5,537,192.2,Branch,True
C1333464581,66,Business,East,3.3,430,70.3,Web,True
C7535219624,48,Business,East,8.1,422,156.8,Web,True
C8707257092,29,Business,South,6.9,739,171.8,Mobile,True
C9093335638,38,Checking,North,8.0,641,89.9,Mobile,True
C2480824907,47,Savings,South,15.2,718,78.7,Web,True
C1056912766,44,Savings,East,9.7,754,150.8,Mobile,True
C6566032328,61,Business,East,18.8,497,183.0,Web,False
C2972202734,43,Business,West,5.9,581,152.2,Mobile,True
C2765633622,50,Business,East,8.3,300,49.3,Branch,True
C4100662431,43,Savings,East,15.7,631,178.2,Branch,True
C6947686259,43,Savings,North,10.9,511,80.6,Web,True
C4180965110,53,Business,North,10.9,386,117.4,Web,True
C7579413476,57,Savings,West,1.1,360,167.1,Mobile,True
C8685552747,18,Checking,West,8.0,394,41.7,Mobile,True
C6569656413,32,Business,West,5.4,446,158.0,Web,True
C7620132085,67,Business,South,20.0,545,121.3,Branch,True
C2482751389,18,Checking,South,6.2,596,179.2,Branch,True
C2778979453,28,Checking,West,17.7,422,38.5,Web,True
C9081678834,19,Savings,South,13.5,755,87.0,Branch,False
C5816786041,18,Checking,East,6.8,698,167.4,Web,True
C8020722158,48,Business,West,10.9,530,8.8,Mobile,True
C1910079209,61,Savings,West,16.8,833,26.9,Branch,True
C6011930790,33,Checking,South,17.7,701,198.2,Branch,True
C6444303998,39,Savings,North,3.2,429,59.7,Mobile,True
C2781276808,59,Savings,West,6.8,591,195.2,Mobile,False
C9037895648,35,Savings,South,6.7,575,40.6,Branch,True
C7063912871,64,Savings,South,0.8,675,75.4,Branch,True
C1874743708,34,Checking,North,12.0,354,151.8,Web,True
C6701793121,47,Business,West,17.1,325,133.3,Web,True
C7766331776,27,Business,North,7.6,740,118.3,Branch,True
C5390064220,52,Checking,East,14.8,496,108.3,Web,False
C3991991343,38,Business,North,12.6,542,169.5,Mobile,True
C3129031412,33,Savings,North,7.5,489,50.8,Web,True
C2885901094,23,Savings,South,2.8,575,91.3,Web,True
C7495213584,20,Savings,North,14.2,708,35.3,Branch,False
C4284795161,58,Checking,East,17.1,639,121.2,Web,True
C3915843522,60,Savings,South,13.7,452,53.9,Branch,True
C5086412390,38,Savings,East,0.4,697,70.1,Branch,True
C4334996160,30,Checking,North,4.3,743,96.9,Branch,True
C3625670717,35,Savings,East,1.4,726,10.2,Mobile,True
C4682113706,41,Savings,East,11.4,786,22.9,Web,True
C3891571450,44,Business,North,15.1,503,138.8,Web,True
C2752857986,21,Checking,North,2.2,411,88.6,Web,True
C1953055210,39,Savings,South,16.8,624,173.6,Branch,True
C4140980533,41,Savings,South,11.1,557,140.5,Mobile,True
C2997397084,57,Savings,West,13.8,827,6.6,Branch,True
C4754534485,62,Savings,South,19.4,649,125.3,Web,True
C3283107526,27,Business,North,1.7,734,23.3,Branch,True
C7487813532,19,Business,East,18.0,725,157.3,Branch,True
C7032576424,57,Business,East,2.5,579,198.3,Web,True
C3080243470,23,Business,South,7.9,670,108.6,Branch,False
C9647348362,65,Checking,South,17.0,548,138.1,Branch,True
C2759816621,35,Savings,North,18.1,480,51.3,Mobile,True
C8077136440,34,Business,East,10.1,377,90.3,Branch,True
C7353373701,55,Savings,West,11.9,635,171.9,Mobile,True
C4191510887,62,Checking,West,14.2,349,37.6,Web,True
C5216400944,40,Savings,South,16.7,384,56.8,Mobile,True
C2934790737,63,Savings,West,2.4,303,91.9,Branch,True
C7499866956,47,Business,North,16.2,616,143.9,Web,True
C5248657909,38,Business,West,9.6,410,78.3,Branch,True
C9773920489,27,Checking,South,9.0,633,185.9,Branch,True
C2917217090,60,Savings,North,8.5,432,23.4,Mobile,True
C9890597378,30,Business,East,10.2,418,77.3,Branch,False
C8427006669,29,Business,North,18.9,649,143.2,Mobile,True
C6903348355,26,Business,South,11.0,841,49.1,Web,True
C6797969374,21,Checking,South,19.1,354,133.0,Web,True
C8912727807,56,Savings,West,3.6,660,37.0,Branch,False
C2603058568,41,Business,West,14.5,752,15.9,Mobile,True
C1445296119,51,Savings,East,16.2,629,28.6,Branch,True
C9798917679,56,Checking,East,13.6,518,186.3,Branch,True
C3495440803,58,Savings,South,12.1,507,112.6,Branch,True
C7648748345,22,Business,South,11.3,384,160.3,Branch,True
C3237992303,32,Savings,South,17.2,544,69.9,Mobile,True
C2504110397,67,Savings,East,16.4,634,120.6,Branch,True
C8552708083,21,Checking,South,2.4,511,101.5,Web,True
C1062827874,68,Checking,East,17.0,482,189.4,Mobile,True
C1890098898,69,Savings,South,8.3,432,150.8,Branch,True
C2660521018,56,Savings,North,5.1,649,147.5,Mobile,True
C2490193278,25,Savings,North,17.4,581,14.0,Branch,True
C1681520569,66,Checking,South,8.6,592,112.2,Web,True
C2109093775,62,Checking,North,16.2,568,96.1,Web,True
C3326353652,41,Savings,East,5.3,496,185.9,Web,True
C8551700541,45,Checking,West,0.1,836,55.2,Mobile,True
C6613112139,60,Business,North,9.9,319,57.6,Web,True
C7077255100,44,Checking,West,2.0,704,85.2,Branch,True
C4061356810,18,Checking,North,15.1,414,52.5,Branch,True
C6953735183,51,Checking,East,5.5,325,30.2,Branch,True
C9025746141,34,Business,North,8.9,694,172.2,Mobile,True
C3511130329,54,Business,North,1.7,680,113.9,Mobile,True
C5868992177,55,Business,South,5.7,822,173.0,Web,True
C7231036694,43,Savings,West,15.6,838,167.1,Mobile,True
C9411684157,41,Savings,West,3.0,382,60.0,Branch,True
C7585264632,56,Business,East,12.9,849,111.8,Branch,True
C8508602818,38,Savings,East,18.3,744,21.2,Branch,True
C6261514812,47,Savings,West,13.6,386,183.5,Mobile,True
C3270854109,64,Savings,South,16.2,686,83.8,Branch,True
C4547289567,68,Business,South,2.2,697,81.8,Web,True
C6490933357,65,Checking,West,5.0,585,64.0,Mobile,True
C3811954074,30,Business,North,17.9,668,94.8,Branch,False
C5566152777,54,Business,West,14.3,721,54.1,Branch,True
C8673853911,20,Savings,North,12.8,742,78.1,Mobile,True
C4211942227,49,Savings,West,13.3,819,161.0,Mobile,True
C2992822436,52,Checking,North,8.3,587,167.7,Web,False
C7078413692,36,Checking,South,0.9,394,64.3,Mobile,True
C4815924319,31,Checking,West,15.7,340,96.5,Branch,True
C3706000699,65,Checking,East,13.6,630,175.4,Web,True
C8661244079,39,Business,North,9.5,454,15.3,Branch,True
C7137443544,34,Checking,South,18.0,803,178.4,Branch,True
C2874407878,21,Business,East,6.7,574,47.7,Branch,True
C5700100497,62,Savings,South,5.9,478,137.3,Mobile,True
C8507623175,57,Checking,North,17.5,436,118.6,Mobile,True
C8330812796,36,Savings,West,15.9,479,112.8,Branch,True
C5319528386,54,Savings,South,10.3,481,172.6,Mobile,True
C3000706394,19,Business,West,2.6,558,24.8,Branch,True
C2366248204,32,Checking,West,4.3,542,72.7,Mobile,False
C5128148258,19,Business,South,13.1,395,110.0,Mobile,True
C9648769437,28,Savings,South,7.7,496,163.2,Mobile,False
C9934486523,62,Checking,South,16.7,825,47.2,Web,True
C9657549909,40,Savings,West,19.0,686,161.6,Mobile,False
C5368625054,27,Savings,East,16.1,707,82.9,Web,True
C9231748503,20,Checking,North,7.6,568,41.8,Web,True
C8327894960,22,Checking,East,15.8,470,153.0,Web,True
C9612896185,20,Checking,West,7.0,469,22.7,Branch,True
C2728015484,55,Business,South,3.3,458,105.4,Mobile,True
C6972554066,30,Business,South,0.7,808,17.5,Branch,True
